1;09:00:00;18:00:00;1;9
2;09:00:00;17:00:00;29;21
3;08:00:00;20:00:00;22;6
4;09:00:00;18:00:00;16;17
5;07:00:00;17:00:00;7;18
6;09:00:00;19:00:00;24;25
7;09:00:00;18:00:00;11;23
8;07:00:00;18:00:00;5;18
9;09:00:00;21:00:00;8;18
10;08:00:00;21:00:00;22;19
11;08:00:00;21:00:00;21;26
12;09:00:00;17:00:00;26;26
13;07:00:00;18:00:00;26;1
14;08:00:00;21:00:00;21;16
15;07:00:00;18:00:00;2;24
16;07:00:00;17:00:00;3;21
17;07:00:00;17:00:00;17;15
18;08:00:00;17:00:00;2;8
19;09:00:00;21:00:00;6;25
20;08:00:00;17:00:00;28;1
21;07:00:00;18:00:00;15;4
22;07:00:00;20:00:00;18;4
23;09:00:00;18:00:00;2;13
24;09:00:00;20:00:00;5;11
25;07:00:00;17:00:00;13;24
26;08:00:00;19:00:00;17;12
27;07:00:00;19:00:00;18;29
28;09:00:00;18:00:00;28;27
29;07:00:00;18:00:00;17;24
30;09:00:00;19:00:00;5;6
