1;26;19;2020-03-04 00:00:00;2021-09-08 00:00:00;2023-03-12 00:00:00
2;50;9;2020-04-09 00:00:00;2021-08-15 00:00:00;2023-04-06 00:00:00
3;28;50;2020-04-01 00:00:00;2021-05-12 00:00:00;2023-06-06 00:00:00
4;28;5;2020-06-28 00:00:00;2021-04-23 00:00:00;2023-01-01 00:00:00
5;23;33;2020-04-05 00:00:00;2021-09-11 00:00:00;2023-05-21 00:00:00
6;30;22;2020-07-18 00:00:00;2021-01-08 00:00:00;2023-01-07 00:00:00
7;49;44;2020-01-07 00:00:00;2021-05-21 00:00:00;2023-02-09 00:00:00
8;23;37;2020-05-27 00:00:00;2021-04-14 00:00:00;2023-06-02 00:00:00
9;2;20;2020-03-21 00:00:00;2021-09-21 00:00:00;2023-03-14 00:00:00
10;42;11;2020-02-27 00:00:00;2021-10-01 00:00:00;2023-03-13 00:00:00
11;14;21;2020-02-02 00:00:00;2021-10-08 00:00:00;2023-02-14 00:00:00
12;10;50;2020-07-22 00:00:00;2021-12-08 00:00:00;2023-01-26 00:00:00
13;22;11;2020-10-10 00:00:00;2021-02-10 00:00:00;2023-03-01 00:00:00
14;47;3;2020-05-19 00:00:00;2021-10-08 00:00:00;2023-03-11 00:00:00
15;48;5;2020-09-14 00:00:00;2021-09-05 00:00:00;2023-04-01 00:00:00
16;41;23;2020-08-17 00:00:00;2021-07-03 00:00:00;2023-01-03 00:00:00
17;46;34;2020-09-21 00:00:00;2021-05-09 00:00:00;2023-06-18 00:00:00
18;18;2;2020-01-03 00:00:00;2021-04-20 00:00:00;2023-03-20 00:00:00
19;14;39;2020-10-12 00:00:00;2021-01-17 00:00:00;2023-02-25 00:00:00
20;41;17;2020-07-09 00:00:00;2021-01-05 00:00:00;2023-01-01 00:00:00
21;50;31;2020-08-10 00:00:00;2021-03-02 00:00:00;2023-05-01 00:00:00
22;18;22;2020-11-28 00:00:00;2021-10-09 00:00:00;2023-04-03 00:00:00
23;27;18;2020-04-19 00:00:00;2021-01-01 00:00:00;2023-05-09 00:00:00
24;50;28;2020-10-11 00:00:00;2021-09-17 00:00:00;2023-04-01 00:00:00
25;46;3;2020-06-17 00:00:00;2021-08-26 00:00:00;2023-03-20 00:00:00
26;27;25;2020-07-25 00:00:00;2021-07-16 00:00:00;2023-03-11 00:00:00
27;11;46;2020-03-18 00:00:00;2021-01-02 00:00:00;2023-05-05 00:00:00
28;46;43;2020-01-22 00:00:00;2021-05-09 00:00:00;2023-04-05 00:00:00
29;38;47;2020-05-20 00:00:00;2021-01-23 00:00:00;2023-05-27 00:00:00
30;37;10;2020-10-08 00:00:00;2021-12-09 00:00:00;2023-05-08 00:00:00
