1,1,1,cuero_mexico@email.com,1
2,2,1,cuero_norte@email.com,2
3,3,1,cuero_sur@email.com,3
4,4,1,cuero_frontera@email.com,4
5,5,1,cuero_sierra@email.com,5
6,6,1,cuero_costa@email.com,6
7,7,1,cuero_selva@email.com,7
8,8,1,cuero_ciudad@email.com,8
9,9,1,cuero_montana@email.com,9
10,10,1,cuero_isla@email.com,10
11,11,1,cuero_baja@email.com,11
12,12,1,cuero_altiplanicie@email.com,12
13,13,1,cuero_region@email.com,13
14,14,1,cuero_zona@email.com,14
15,15,1,cuero_comarca@email.com,15
16,16,1,cuero_provincia@email.com,16
17,17,1,cuero_peninsula@email.com,17
18,18,1,cuero_meseta@email.com,18
19,19,1,cuero_llanura@email.com,19
20,20,1,cuero_depresion@email.com,20
21,21,1,cuero_serrania@email.com,21
22,22,1,cuero_cordillera@email.com,22
23,23,1,cuero_valle@email.com,23
24,24,1,cuero_campina@email.com,24
25,25,1,cuero_colina@email.com,25
26,26,1,cuero_llanura@email.com,26
27,27,1,cuero_costa@email.com,27
28,28,1,cuero_sierra@email.com,28
29,29,1,cuero_frontera@email.com,29
30,30,1,cuero_region@email.com,30
